你看起来好像很好吃,2010,8.9,299468人评价
恐怖游轮,2009,8.5,741617人评价
雨中曲,1952,9.1,190654人评价
雨人,1988,8.7,366269人评价
恋恋笔记本,2004,8.6,595514人评价
2001太空漫游,1968,8.9,274435人评价
魔女宅急便,1989,8.7,408547人评价
萤火虫之墓,1988,8.7,374572人评价
城市之光,1931,9.3,125414人评价
可可西里,2004,8.8,267805人评价
遗愿清单,2007,8.7,383130人评价
大佛普拉斯,2017,8.7,386145人评价
虎口脱险,1966,8.9,223100人评价
人工智能,2001,8.7,395947人评价
初恋这件小事,2010,8.4,904793人评价
牯岭街少年杀人事件,1991,8.9,246350人评价
源代码,2011,8.5,753700人评价
茶馆,1982(中国大陆),9.5,95023人评价
无间道2,2003,8.7,400024人评价
海边的曼彻斯特,2016,8.6,444373人评价
罗生门,1950,8.8,277876人评价
终结者2：审判日,1991,8.8,308077人评价
东京教父,2003,9.0,180070人评价
二十二,2015,8.7,269491人评价
奇迹男孩,2017,8.6,506583人评价
青蛇,1993,8.6,466108人评价
背靠背，脸对脸,1994,9.5,97826人评价
房间,2015,8.8,341170人评价
新龙门客栈,1992,8.6,395460人评价
小丑,2019,8.7,897128人评价
波西米亚狂想曲,2018,8.6,530426人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,469891人评价
无耻混蛋,2009,8.6,424596人评价
魂断蓝桥,1940,8.8,248441人评价
血钻,2006,8.7,335376人评价
步履不停,2008,8.8,245414人评价
黑客帝国2：重装上阵,2003,8.7,365140人评价
千钧一发,1997,8.8,251216人评价
彗星来的那一夜,2013,8.5,492020人评价
战争之王,2005,8.7,324053人评价
崖上的波妞,2008,8.6,422411人评价
燃情岁月,1994,8.8,259883人评价
谍影重重2,2004,8.7,317574人评价
爱乐之城,2016,8.4,768561人评价
阿飞正传,1990,8.5,450528人评价
海洋,2009,9.1,147221人评价
谍影重重,2002,8.6,381312人评价
穿越时空的少女,2006,8.6,347438人评价
再次出发之纽约遇见你,2013,8.6,384639人评价
香水,2006,8.5,498345人评价
地球上的星星,2007,8.9,185670人评价
我爱你,2011,9.1,148810人评价
朗读者,2008,8.6,419971人评价
火星救援,2015,8.5,634522人评价
完美陌生人,2016,8.5,482058人评价
末路狂花,1991,8.8,203795人评价
千年女优,2001,8.8,218419人评价
聚焦,2015,8.8,249788人评价
驴得水,2016,8.3,833993人评价
小萝莉的猴神大叔,2015,8.4,445764人评价
心灵奇旅,2020,8.7,829434人评价
